number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_rounds,state
29,0.631424076081256,2026-09-24 22:34:28.556853,2026-09-24 22:35:10.468408,0 days 00:00:41.911555,0.9989476812845945,0.49759133184481635,0.011521531438058435,0.010066544927589856,4,18.07397964345869,0.015594834043458027,49.566154983140365,4.8,0.7292296657890549,389.0,COMPLETE
30,0.6200590081573265,2026-09-24 22:35:10.468408,2026-09-24 22:35:35.681309,0 days 00:00:25.212901,0.919406639810051,0.19980499127098206,0.000103210205675279,0.011654465607160608,7,1.7439439023446914,0.1462667715410911,10.053932862533117,2.0,0.7828213279455148,,PRUNED
31,0.6410707174484666,2026-09-24 22:35:35.681309,2026-09-24 22:36:57.993228,0 days 00:01:22.311919,0.4870391102945865,0.133234439847023,0.0008116894786226983,0.007570380768367099,2,5.918050717136216,0.044103789804357564,19.40068473307085,2.0,0.7114181723149565,1497.0,COMPLETE
32,0.6385900439199276,2026-09-24 22:36:57.993228,2026-09-24 22:37:51.546746,0 days 00:00:53.553518,0.39476193326622444,0.14614120879237738,0.0003455052140744414,0.00900001039991722,2,2.6631815565478547,0.213663391439755,3.461901399855536,4.8,0.6163251081546904,1338.0,COMPLETE
33,0.6381574070836684,2026-09-24 22:37:51.546746,2026-09-24 22:38:29.544852,0 days 00:00:37.998106,0.5229403427322246,0.07307089706170174,0.0019057840467858688,0.007226789529757003,3,11.61978142048666,0.06850030651341159,9.511642000013229,2.0,0.5350966560495583,1080.0,COMPLETE
34,0.6317439322096502,2026-09-24 22:38:29.544852,2026-09-24 22:39:28.110080,0 days 00:00:58.565228,0.437028080277044,0.3999544230650642,0.006270654838154587,0.00576231603455031,2,18.794403486357762,0.5504015637933914,18.82807971439666,1.0,0.7839778391003962,1171.0,COMPLETE
35,0.6414434137590672,2026-09-24 22:39:28.110080,2026-09-24 22:39:50.222747,0 days 00:00:22.112667,0.5947506475094088,0.2573517424392545,0.0007483612266964729,0.010745352418218085,3,9.803643855919882,3.254340522486726,5.591257841777446,2.0,0.747789246840423,625.0,COMPLETE
36,0.6288521380371317,2026-09-24 22:39:50.222747,2026-09-24 22:40:21.397252,0 days 00:00:31.174505,0.6740787476365773,0.09855239555919945,0.0008899660587533834,0.008312118523932958,2,42.233532266373714,7.850117757877646,48.91053584374515,4.8,0.6490659073599293,1263.0,COMPLETE
37,0.6387457315012296,2026-09-24 22:40:21.397756,2026-09-24 22:40:38.116743,0 days 00:00:16.718987,0.6389637815527968,0.2100936015747726,0.00039296863698876463,0.009728058999739296,3,2.0823880585024424,0.46531527566013475,2.6603359092758376,1.0,0.8388283289718435,538.0,COMPLETE
38,0.6411108092867472,2026-09-24 22:40:38.116743,2026-09-24 22:40:47.658468,0 days 00:00:09.541725,0.3815365527572498,0.05344886279697759,0.00022931060192675178,0.0063295922620474985,2,3.8202937791383946,1.4485692400413837,7.395470087651047,2.0,0.7100060942208976,,PRUNED
39,0.6431363615580951,2026-09-24 22:40:47.658468,2026-09-24 22:41:13.396479,0 days 00:00:25.738011,0.6937135290577988,0.14809382474094868,0.00015846162334429874,0.008547204547812737,2,44.04963829300795,0.007956347636070431,0.6883390885680756,1.0,0.6518066740328436,1184.0,COMPLETE
40,0.6351136010126954,2026-09-24 22:41:13.396479,2026-09-24 22:41:32.016784,0 days 00:00:18.620305,0.7043484099955762,0.2764701109637244,0.00016386458936843622,0.014070390588428404,6,82.89905703324098,0.003832523883141662,1.2332522794479672,2.0,0.59431390444734,273.0,COMPLETE
41,0.6409415127138284,2026-09-24 22:41:32.016784,2026-09-24 22:42:00.998590,0 days 00:00:28.981806,0.6221279706226684,0.1488979303577909,0.00014673554972648568,0.008027135437852963,2,38.57130329612269,0.0061459931125927274,0.4270621483360962,1.0,0.6556293742041261,1400.0,COMPLETE
42,0.6447120998996807,2026-09-24 22:42:00.998590,2026-09-24 22:42:23.798707,0 days 00:00:22.800117,0.5338907528909055,0.17874934464757225,0.0003187124194807891,0.008942030320974462,3,63.54362099848529,0.0016033916781709738,0.10735891802886201,1.0,0.7449762061168369,802.0,COMPLETE
43,0.6445740376658876,2026-09-24 22:42:23.798707,2026-09-24 22:42:51.574141,0 days 00:00:27.775434,0.6677438867534616,0.166896559714805,0.00028164894790358533,0.008951330405143166,3,63.143707502551,0.0021021015009706464,0.11284622488564956,1.0,0.7643936722717416,870.0,COMPLETE
44,0.6440111202853764,2026-09-24 22:42:51.574141,2026-09-24 22:43:10.893921,0 days 00:00:19.319780,0.5586503896041847,0.1766850851910009,0.0003646811795166651,0.011779602458456566,3,64.44528897751208,0.002005267340701865,0.10894463386034782,1.0,0.7453710512852286,664.0,COMPLETE
45,0.6436491103502746,2026-09-24 22:43:10.894424,2026-09-24 22:43:29.544610,0 days 00:00:18.650186,0.6002456328185427,0.18121781759677552,0.00043100199853927284,0.01235155706667148,3,63.64337970288717,0.0019304210774719953,0.12494938749920806,1.0,0.7492753947396144,625.0,COMPLETE
46,0.6407612787431676,2026-09-24 22:43:29.544610,2026-09-24 22:43:48.641338,0 days 00:00:19.096728,0.656584884483859,0.11564351005920938,0.0002837477853760634,0.011431973177453253,4,64.70137377070016,0.0011456375450394321,0.1933105375782257,1.0,0.7695917542175289,496.0,COMPLETE
47,0.6386999916624755,2026-09-24 22:43:48.641861,2026-09-24 22:44:06.842259,0 days 00:00:18.200398,0.5505776406155625,0.17018136593377026,0.00020285392334354368,0.016590345309352474,5,33.639812639874464,0.002087782313826333,0.16761434129761846,1.0,0.7965087539214857,261.0,COMPLETE
48,0.6362022127610745,2026-09-24 22:44:06.842259,2026-09-24 22:44:27.450353,0 days 00:00:20.608094,0.5673958862126863,0.2351518481089923,0.0005162530746946732,0.010549164745214668,4,62.812604394457935,0.0022349123428616986,0.31885320082976704,1.0,0.8332358341709247,453.0,COMPLETE
49,0.6134259426109361,2026-09-24 22:44:27.450353,2026-09-24 22:44:57.409359,0 days 00:00:29.959006,0.47748953139958655,0.08469611523714353,0.0006195739174599771,0.00925948206384912,3,97.3380457212193,0.011513856851421601,0.10182104289768353,1.0,0.7387316593823869,972.0,COMPLETE
50,0.6375805938289768,2026-09-24 22:44:57.409359,2026-09-24 22:45:14.959890,0 days 00:00:17.550531,0.7497206426536653,0.19562637562660246,0.0003266802805731866,0.013665404740183887,3,50.164831609793836,0.0030756381757137156,0.31625455880024606,1.0,0.7051732177394007,399.0,COMPLETE
51,0.6413524181958853,2026-09-24 22:45:14.959890,2026-09-24 22:45:35.234838,0 days 00:00:20.274948,0.6051229913216727,0.170496185098223,0.0004601892643800675,0.012119479890102038,3,60.52045220636409,0.0016608660459366098,0.11450302084749359,1.0,0.7500551759104158,536.0,COMPLETE
52,0.6408171491224532,2026-09-24 22:45:35.234838,2026-09-24 22:45:55.820964,0 days 00:00:20.586126,0.5385845183245465,0.1862562180141935,0.0009924271878151178,0.01313461199458617,3,77.935104369802,0.004448921848076133,0.14706189452485222,1.0,0.6963969223973603,563.0,COMPLETE
53,0.6429827897357004,2026-09-24 22:45:55.822575,2026-09-24 22:46:16.063876,0 days 00:00:20.241301,0.5842897326759902,0.21225573127987477,0.00040916506439221754,0.010072203290253056,4,53.332668548688865,0.001569061072429505,0.25332845929412046,1.0,0.7784279433818828,525.0,COMPLETE
54,0.6406089799621495,2026-09-24 22:46:16.064880,2026-09-24 22:46:35.222887,0 days 00:00:19.158007,0.6227797148119381,0.1624974525085686,0.00012586420987040952,0.011800152663484779,3,30.474570461858843,0.0029256960783407416,0.1365738570835448,1.0,0.734942717176906,616.0,COMPLETE
